,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Japan,Japan,GPE,0.08417217,0.72410439,en,353.90796214,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Hokkaido,Hokkaido,GPE,0.03704260,0.61867766,en,137.09362304,4095546-1,11257417,L,43.51669000,142.44873000,ASIA,Japan,EAS
Tokyo,Tokyo,GPE,0.16765636,0.79532903,en,117.73672855,4078337-6,1850147,P,35.68950000,139.69171000,ASIA,Japan,EAS
Tohoku,Tohoku,GPE,0.03670332,0.73560977,en,109.53746392,4552767-2,2110769,L,39.00000000,141.00000000,ASIA,Japan,EAS
Pacific,Pacific,LOC,0.05788812,0.95226453,en,93.13188478,,0,,,,,,
Hokuriku,Hokuriku,GPE,-0.04464989,0.81848944,en,74.07884199,1335107711,1862262,L,37.00000000,137.50000000,ASIA,Japan,EAS
Aomori,Aomori,GPE,0.05562635,0.58972014,en,66.51378483,4309664-5,2130658,P,40.81667000,140.73333000,ASIA,Japan,EAS
Kanto,Kanto,GPE,0.06127423,0.90904681,en,56.87211122,,1860102,L,36.25000000,139.50000000,ASIA,Japan,EAS
Aomori Prefecture,Aomori Prefecture,GPE,-0.02152300,0.53609890,en,51.14957265,4309664-5,2130658,P,40.81667000,140.73333000,ASIA,Japan,EAS
the Great East Japan Earthquake,the Great East Japan Earthquake,LOC,0.93806895,1.07315065,en,46.16536797,,0,,,,,,
Kumamoto,Kumamoto,GPE,0.07543605,0.35698727,en,43.27023810,4382233-2,1857892,T,32.42944000,130.99099000,ASIA,Japan,EAS
Kyushu,Kyushu,GPE,0.13542352,0.90692682,en,37.85590659,,1857891,L,32.33546000,130.85082000,ASIA,Japan,EAS
Fukushima Prefecture,Fukushima Prefecture,LOC,0.03989419,0.28012306,en,35.27207792,,2112923,P,37.75000000,140.46667000,ASIA,Japan,EAS
Ibaraki Prefecture,Ibaraki Prefecture,LOC,0.01099994,0.29374041,en,30.48571429,,2111901,P,36.35000000,140.45000000,ASIA,Japan,EAS
Iwate Prefecture,Iwate Prefecture,GPE,-0.05817835,0.30628665,en,28.05216450,4323908-0,2111834,P,39.70000000,141.15000000,ASIA,Japan,EAS
Fukushima,Fukushima,GPE,0.36846834,0.77822874,en,27.83300866,4332074-0,2112923,P,37.75000000,140.46667000,ASIA,Japan,EAS
China,China,GPE,0.11017429,0.74889560,en,23.06136364,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
the Kanto region,the Kanto region,LOC,-0.04405090,1.16733738,en,21.81053946,,1860102,L,36.25000000,139.50000000,ASIA,Japan,EAS
Hachinohe City,Hachinohe City,GPE,0.03314869,0.65456419,en,19.38571429,,10339757,S,40.50727000,141.48790000,ASIA,Japan,EAS
the Sea of ​​Japan side,the Sea of ​​Japan side,LOC,-0.01102131,0.50023532,en,18.32121212,,0,,,,,,
US,US,GPE,0.06355326,0.59004504,en,17.93450300,,0,,,,,,
Shimane Prefecture,Shimane Prefecture,LOC,0.03224513,0.24619200,en,17.56666667,4389008-8,1857550,P,35.48333000,133.05000000,ASIA,Japan,EAS
the United States,the United States,GPE,0.21123753,0.83393692,en,17.22481013,,0,,,,,,
Yamagata,Yamagata,GPE,-0.08251596,0.70519068,en,17.14935897,4234361-6,2110556,P,38.23333000,140.36667000,ASIA,Japan,EAS
the Japan Sea,the Japan Sea,LOC,-0.06495511,0.81537598,en,14.40000000,,7733078,S,15.21300000,145.75700000,PACIFIC,Northern Mariana Islands,NPO
Nagano,Nagano,GPE,0.08870317,0.57439489,en,14.06666667,4310172-0,1856215,P,36.65000000,138.18333000,ASIA,Japan,EAS
Okinawa,Okinawa,GPE,0.00281424,0.91877807,en,13.71991342,4247457-7,1856035,P,26.21300000,127.67851000,ASIA,Japan,EAS
Sanriku,Sanriku,GPE,0.00578594,0.38332441,en,12.73333333,,2111923,L,38.50000000,141.50000000,ASIA,Japan,EAS
Russia,Russia,GPE,0.07846717,0.50214811,en,12.62382092,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
Tokai,Tokai,GPE,0.14280394,0.68613366,en,11.95735931,,1850221,L,35.00000000,137.50000000,ASIA,Japan,EAS
Saitama,Saitama,GPE,0.02282761,0.17454345,en,11.86428571,4390428-2,6940394,P,35.90807000,139.65657000,ASIA,Japan,EAS
Nankai Trough,Nankai Trough,LOC,0.04241700,0.45140845,en,11.83333333,,0,,,,,,
Gunma,Gunma,GPE,0.02690671,0.22687398,en,11.57196970,4585830-5,1857843,P,36.40000000,139.08333000,ASIA,Japan,EAS
Chiba,Chiba,GPE,0.09500109,0.53144150,en,11.36794872,4388993-1,2113015,P,35.60000000,140.11667000,ASIA,Japan,EAS
Chiba Prefecture,Chiba Prefecture,GPE,0.01327017,0.15916370,en,11.27500000,4388993-1,2113015,P,35.60000000,140.11667000,ASIA,Japan,EAS
