,phrase,label,sentiment,subjectivity,language,count
the Japan Meteorological Agency,the Japan Meteorological Agency,ORG,-0.0029577353067081432,0.48432682708231123,en,27.35238095238094
NTV NEWS NNN,NTV NEWS NNN,ORG,0.04901489117983962,0.6261053837342495,en,11.022727272727275
Amazon,Amazon,ORG,0.5624728416291361,0.7690385436373407,en,10.300134952766529
AI,AI,ORG,0.025529948222535438,0.8748060792028816,en,9.311278195488722
The Japan Meteorological Agency,The Japan Meteorological Agency,ORG,0.05971556620518283,0.5389376996805114,en,8.942857142857141
NHK General/NHK BS/,NHK General/NHK BS/,ORG,0.2562617098905435,0.19931466324820052,en,8.780086580086575
Micro,Micro,ORG,-0.05041666666666667,0.17374999999999996,en,6.4
iPhone,iPhone,ORG,0.4512574801876112,1.1026403040595179,en,6.245454545454546
Trump,Trump,ORG,0.03945835846133834,0.7412244137784242,en,6.1015151515151524
Hokuriku,Hokuriku,ORG,-0.06314439734128854,0.6477992358821374,en,4.825
TRAICY,TRAICY,ORG,-0.06780773574251832,0.38694005270092224,en,4.6
Japan Meteorological Agency,Japan Meteorological Agency,ORG,-0.07379560011138958,0.35533277638540794,en,4.275
Copilot,Copilot,ORG,0.21527777777777776,0.6140873015873015,en,4.2
Instagram,Instagram,ORG,0.27267441860465114,0.5880813953488371,en,4.095238095238096
SNS,SNS,ORG,-0.017239600304116448,0.8789345063538614,en,3.985714285714285
Apple,Apple,ORG,0.45313283208020044,1.2120718462823725,en,3.8000000000000003
NTT East,NTT East,ORG,-0.04106337061016284,1.05760496370414,en,3.7340659340659337
JAL Group,JAL Group,ORG,-0.1115186615186615,0.36749249249249255,en,3.6999999999999997
ANA,ANA,ORG,-0.15920205920205915,0.4034963534963535,en,3.6999999999999997
the Baseball Writers Association of America,the Baseball Writers Association of America,ORG,0.13923013923013924,0.36855036855036855,en,3.6999999999999997
Otani,Otani,ORG,0.15165165165165168,0.2102102102102102,en,3.6999999999999997
Diet,Diet,ORG,0.6091269841269841,1.1808862433862433,en,3.6000000000000005
Japan Airlines,Japan Airlines,ORG,0.02857142857142857,0.32876984126984116,en,3.6
Dodgers,Dodgers,ORG,0.03896103896103896,0.19058441558441558,en,3.5
the House of Representatives,the House of Representatives,ORG,0.12379807692307696,0.6033653846153848,en,3.466666666666666
the Prime Minister's Office,the Prime Minister's Office,ORG,-0.04248366013071895,0.11764705882352941,en,3.4000000000000004
Chubu Electric Power,Chubu Electric Power,ORG,0.13698871650211572,0.4146685472496474,en,3.3761904761904757
Sponichi Annex,Sponichi Annex,ORG,0.3469809760132341,0.73904052936311,en,3.3583333333333334
Google,Google,ORG,0.37297155819228767,0.45253882393997563,en,3.351461988304093
Takaichi,Takaichi,ORG,0.5705395794681508,1.3377396413110696,en,3.266666666666667
The Metropolitan Police Department,The Metropolitan Police Department,ORG,-4.303190017926964e-18,0.21705426356589147,en,3.2249999999999996
the Cabinet Office,the Cabinet Office,ORG,0.15625,0.20833333333333331,en,3.2
the Metropolitan Police Department's,the Metropolitan Police Department's,ORG,-0.1349206349206349,0.4497354497354497,en,3.15
Minato-ku,Minato-ku,ORG,-0.029044544763199193,0.316040321667233,en,3.144230769230769
Sapporo,Sapporo,ORG,0.29695904013239555,1.0581299131154323,en,3.138961038961039
Kyoto University,Kyoto University,ORG,-0.010154738878143136,0.38940315004144793,en,3.1333333333333333
Iwate,Iwate,ORG,0.21678966789667897,0.6289667896678967,en,3.011111111111111
Hachinohe,Hachinohe,ORG,-0.041944444444444444,0.13194444444444445,en,3.0
Generation Z,Generation Z,ORG,0.17857142857142858,0.17857142857142858,en,2.8
Triassic,Triassic,ORG,0.08035714285714286,0.28273809523809523,en,2.8
the Tokyo Metropolitan Police Department,the Tokyo Metropolitan Police Department,ORG,0.13860544217687076,0.18112244897959184,en,2.8
the Narcotics Control Department,the Narcotics Control Department,ORG,-0.059523809523809534,0.0,en,2.8
All Nippon Airways,All Nippon Airways,ORG,-0.08112244897959182,0.341156462585034,en,2.8
UV,UV,ORG,0.15945165945165948,0.2748917748917749,en,2.8
BBWAA,BBWAA,ORG,0.13528138528138528,0.3246753246753247,en,2.8
Asus,Asus,ORG,0.17857142857142858,0.0,en,2.8
JPCZ,JPCZ,ORG,-0.042162698412698416,0.2098214285714286,en,2.8
Waseda University,Waseda University,ORG,-0.07142857142857145,0.30357142857142855,en,2.8
VK,VK,ORG,0.09576427255985268,0.11970534069981584,en,2.7846153846153845
Kanto,Kanto,ORG,-0.02084967320261438,0.5101379811183733,en,2.7818181818181817
