,phrase,label,sentiment,subjectivity,language,count
Tommy Bastow,Tommy Bastow,PERSON,-0.02091384743444913,1.0778781933131178,en,7.280952380952381
Anonymous @ Open,Anonymous @ Open,PERSON,0.0962839711591792,1.6298946200776492,en,4.292857142857141
Anonymous @Open,Anonymous @Open,PERSON,0.1772629310344827,1.0484913793103448,en,2.2095238095238097
JR East,JR East,PERSON,-0.18356643356643357,0.5506993006993007,en,2.0428571428571427
Yugiku Takahashi,Yugiku Takahashi,PERSON,0.14015151515151514,0.2626262626262626,en,2.0
Yukito Hidaka,Yukito Hidaka,PERSON,0.0,0.0,en,1.7619047619047619
Shunsuke Mitsui,Shunsuke Mitsui,PERSON,0.2961038961038961,0.4584415584415584,en,1.75
Ryo Yoshizawa,Ryo Yoshizawa,PERSON,-0.3981619473422752,2.3576751117734727,en,1.7428571428571429
Roki Sasaki,Roki Sasaki,PERSON,0.0,0.0,en,1.7
Yakumo Koizumi,Yakumo Koizumi,PERSON,0.29605263157894735,0.3552631578947368,en,1.688888888888889
Sanae Takaichi,Sanae Takaichi,PERSON,0.1689779147406266,0.6687211093990756,en,1.6857142857142855
Lafcadio Hearn,Lafcadio Hearn,PERSON,0.0,0.0,en,1.588888888888889
Ki Yamane,Ki Yamane,PERSON,0.19242424242424241,0.36515151515151517,en,1.5
the Nankai Trough Earthquake,the Nankai Trough Earthquake,PERSON,0.2708333333333333,0.9416666666666668,en,1.5
Aomori Hachinohe,Aomori Hachinohe,PERSON,0.43333333333333335,1.0,en,1.5
Takumi Minamino,Takumi Minamino,PERSON,0.26666666666666666,0.6666666666666666,en,1.5
Vanrare Hachinohe,Vanrare Hachinohe,PERSON,0.0,0.0,en,1.5
Yukiku Takahashi,Yukiku Takahashi,PERSON,0.0,0.0,en,1.5
Kishu Nankoume,Kishu Nankoume,PERSON,0.3185185185185186,0.8000000000000002,en,1.5
Hatena Bookmark,Hatena Bookmark,PERSON,0.21000000000000002,0.14,en,1.4285714285714284
Donto Dam,Donto Dam,PERSON,0.0,0.0,en,1.4285714285714284
Ramendo Sendaikko,Ramendo Sendaikko,PERSON,0.5428571428571429,1.0285714285714287,en,1.4
Fumiyo Kohinata,Fumiyo Kohinata,PERSON,-0.18,0.44400000000000006,en,1.3888888888888888
Masaki Okada,Masaki Okada,PERSON,0.2692307692307692,1.0769230769230769,en,1.3
Kazuyuki Suzuki,Kazuyuki Suzuki,PERSON,0.12638888888888888,0.9819444444444447,en,1.2857142857142856
Iekei Ramen,Iekei Ramen,PERSON,0.1814814814814815,0.9419753086419753,en,1.2857142857142856
Masamine Fukao,Masamine Fukao,PERSON,0.29166666666666663,0.412037037037037,en,1.2000000000000002
Shinichi Sakai,Shinichi Sakai,PERSON,-0.046891534391534366,1.3956845238095235,en,1.2000000000000002
JR Hachinohe Line,JR Hachinohe Line,PERSON,-0.20833333333333331,0.6249999999999999,en,1.2000000000000002
Madoka Magica,Madoka Magica,PERSON,0.7031249999999999,1.395833333333333,en,1.2000000000000002
Hokuriku Shinkansen,Hokuriku Shinkansen,PERSON,-0.21875,0.21875,en,1.1428571428571428
Yuta Yamaguchi,Yuta Yamaguchi,PERSON,0.015624999999999993,0.51875,en,1.1428571428571428
Roki Junpo,Roki Junpo,PERSON,-0.21875,0.328125,en,1.1428571428571428
Hiroko Tsugumo,Hiroko Tsugumo,PERSON,1.1079545454545454,0.7386363636363635,en,1.1
Hiroyuki Nishimura,Hiroyuki Nishimura,PERSON,-0.22727272727272718,0.4848484848484848,en,1.1
Hideki Oe,Hideki Oe,PERSON,0.16942148760330575,0.45867768595041314,en,1.1
Stanisław Lem,Stanisław Lem,PERSON,-0.606060606060606,0.3333333333333333,en,1.1
